"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","quad","paramset"
"SG-SWR1_p29",236,3,0.0127118644067797,1,0.00423728813559322,235,2,237,0.00423728813559322,0.995762711864407,0.666666666666667,1.48544402673491,2.513,2.91919731374267,0.333333333333333,0.00423728813559322,0.00836820083682008,348.844078992249,"SG-SWR1","p29"
"SG-SWR1_p30",236,294,1.24576271186441,114,0.483050847457627,122,180,302,0.483050847457627,0.516949152542373,0.612244897959184,2.2232216144239,1.3647009343995,2.60866306509531,0.387755102040816,0.483050847457627,0.430188679245283,6.06399747587945,"SG-SWR1","p30"
"SG-SWR1_p31",236,123,0.521186440677966,66,0.279661016949153,170,57,227,0.279661016949153,0.720338983050847,0.463414634146341,2.51733839717486,1.38914673505543,2.87519064714082,0.536585365853659,0.279661016949153,0.367688022284123,7.81964729032996,"SG-SWR1","p31"
"SG-SWR1_p32",236,83,0.351694915254237,54,0.228813559322034,182,29,211,0.228813559322034,0.771186440677966,0.349397590361446,2.50649907060871,1.76621709164384,3.06627794007281,0.650602409638554,0.228813559322034,0.338557993730408,9.05687650817802,"SG-SWR1","p32"
"SG-SWR1_p34",236,302,1.27966101694915,113,0.478813559322034,123,189,312,0.478813559322034,0.521186440677966,0.625827814569536,2.19025129361766,1.34971342418812,2.57272755196259,0.374172185430464,0.478813559322034,0.420074349442379,6.12445762369857,"SG-SWR1","p34"
"SG-SWR1_p35",236,127,0.538135593220339,66,0.279661016949153,170,61,231,0.279661016949153,0.720338983050847,0.480314960629921,2.52200492091348,1.40832147027458,2.88857719037386,0.519685039370079,0.279661016949153,0.363636363636364,7.94358727352812,"SG-SWR1","p35"
"SG-SWR1_p36",236,89,0.377118644067797,56,0.23728813559322,180,33,213,0.23728813559322,0.76271186440678,0.370786516853933,2.42390487922075,1.77516731605784,3.00441905590917,0.629213483146067,0.23728813559322,0.344615384615385,8.718180296165,"SG-SWR1","p36"
"SG-SWR1_p38",236,300,1.27118644067797,113,0.478813559322034,123,187,310,0.478813559322034,0.521186440677966,0.623333333333333,2.2198097575817,1.35642970649885,2.60143362562405,0.376666666666667,0.478813559322034,0.421641791044776,6.16977178466588,"SG-SWR1","p38"
"SG-SWR1_p39",236,126,0.533898305084746,66,0.279661016949153,170,60,230,0.279661016949153,0.720338983050847,0.476190476190476,2.51701666680669,1.35604086713245,2.85905923938557,0.523809523809524,0.279661016949153,0.364640883977901,7.840753368618,"SG-SWR1","p39"
"SG-SWR1_p40",236,88,0.372881355932203,56,0.23728813559322,180,32,212,0.23728813559322,0.76271186440678,0.363636363636364,2.45574768311609,1.77676035947451,3.03110112964415,0.636363636363636,0.23728813559322,0.345679012345679,8.76854255361345,"SG-SWR1","p40"
