"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","quad","paramset"
"SG-SWR1_p14",236,1204,5.10169491525424,146,0.61864406779661,90,1058,1148,0.61864406779661,0.38135593220339,0.878737541528239,1.57540885358521,0.949029518717548,1.83917646879029,0.121262458471761,0.61864406779661,0.202777777777778,9.06991135293842,"SG-SWR1","p14"
"SG-SWR1_p15",236,99,0.419491525423729,62,0.26271186440678,174,37,211,0.26271186440678,0.73728813559322,0.373737373737374,2.63633449797762,1.44306735921294,3.00544555572926,0.626262626262626,0.26271186440678,0.370149253731343,8.11955049330081,"SG-SWR1","p15"
"SG-SWR1_p16",236,127,0.538135593220339,71,0.300847457627119,165,56,221,0.300847457627119,0.699152542372881,0.440944881889764,2.61233681437681,1.19878202860765,2.87426198942634,0.559055118110236,0.300847457627119,0.391184573002755,7.34758522649127,"SG-SWR1","p16"
"SG-SWR1_p17",236,43,0.182203389830508,28,0.11864406779661,208,15,223,0.11864406779661,0.88135593220339,0.348837209302326,2.69109813463401,1.44649374103628,3.05521739211595,0.651162790697674,0.11864406779661,0.200716845878136,15.2215295071491,"SG-SWR1","p17"
"SG-SWR1_p18",236,52,0.220338983050847,33,0.139830508474576,203,19,222,0.139830508474576,0.860169491525424,0.365384615384615,2.72184924915028,1.3681329569449,3.04635045964491,0.634615384615385,0.139830508474576,0.229166666666667,13.2931656420869,"SG-SWR1","p18"
"SG-SWR1_p19",236,1182,5.00847457627119,144,0.610169491525424,92,1038,1130,0.610169491525424,0.389830508474576,0.878172588832487,1.57381595078035,0.962114995148131,1.84460345625274,0.121827411167513,0.610169491525424,0.203102961918195,9.08211007279995,"SG-SWR1","p19"
"SG-SWR1_p20",236,1182,5.00847457627119,144,0.610169491525424,92,1038,1130,0.610169491525424,0.389830508474576,0.878172588832487,1.57381595078035,0.962114995148131,1.84460345625274,0.121827411167513,0.610169491525424,0.203102961918195,9.08211007279995,"SG-SWR1","p20"
"SG-SWR1_p21",236,99,0.419491525423729,62,0.26271186440678,174,37,211,0.26271186440678,0.73728813559322,0.373737373737374,2.63633449797762,1.44306735921294,3.00544555572926,0.626262626262626,0.26271186440678,0.370149253731343,8.11955049330081,"SG-SWR1","p21"
"SG-SWR1_p22",236,125,0.529661016949153,69,0.292372881355932,167,56,223,0.292372881355932,0.707627118644068,0.448,2.6249320934539,1.21147671895902,2.89101095394396,0.552,0.292372881355932,0.382271468144044,7.56271706067949,"SG-SWR1","p22"
"SG-SWR1_p23",236,43,0.182203389830508,28,0.11864406779661,208,15,223,0.11864406779661,0.88135593220339,0.348837209302326,2.69109813463401,1.44649374103628,3.05521739211595,0.651162790697674,0.11864406779661,0.200716845878136,15.2215295071491,"SG-SWR1","p23"
"SG-SWR1_p24",236,52,0.220338983050847,33,0.139830508474576,203,19,222,0.139830508474576,0.860169491525424,0.365384615384615,2.72184924915028,1.3681329569449,3.04635045964491,0.634615384615385,0.139830508474576,0.229166666666667,13.2931656420869,"SG-SWR1","p24"
"SG-SWR1_p25",236,1167,4.94491525423729,140,0.593220338983051,96,1027,1123,0.593220338983051,0.406779661016949,0.880034275921165,1.5592127270627,0.962254603225452,1.8322331319084,0.119965724078835,0.593220338983051,0.199572344975053,9.18079672881244,"SG-SWR1","p25"
"SG-SWR1_p26",236,1167,4.94491525423729,140,0.593220338983051,96,1027,1123,0.593220338983051,0.406779661016949,0.880034275921165,1.5592127270627,0.962254603225452,1.8322331319084,0.119965724078835,0.593220338983051,0.199572344975053,9.18079672881244,"SG-SWR1","p26"
