"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","paramset","quad"
"CC-CVS1_p53",249,22,0.0883534136546185,18,0.072289156626506,231,4,235,0.072289156626506,0.927710843373494,0.181818181818182,2.37163287224838,1.72925028713473,2.93512334260157,0.818181818181818,0.072289156626506,0.132841328413284,22.094956273473,"p53","CC-CVS1"
"CC-CVS1_p54",249,27,0.108433734939759,23,0.0923694779116466,226,4,230,0.0923694779116466,0.907630522088353,0.148148148148148,2.66038163256614,1.80276151693909,3.21365516473871,0.851851851851852,0.0923694779116466,0.166666666666667,19.2819309884323,"p54","CC-CVS1"
"CC-CVS1_p55",249,133,0.534136546184739,47,0.188755020080321,202,86,288,0.188755020080321,0.811244979919679,0.646616541353383,2.19970890937326,1.0449432439031,2.43528759471132,0.353383458646617,0.188755020080321,0.246073298429319,9.8965942678694,"p55","CC-CVS1"
"CC-CVS1_p56",249,156,0.626506024096386,81,0.325301204819277,168,75,243,0.325301204819277,0.674698795180723,0.480769230769231,2.14656650748035,1.24980926446033,2.48390236695552,0.519230769230769,0.325301204819277,0.4,6.2097559173888,"p56","CC-CVS1"
"CC-CVS1_p57",249,100,0.401606425702811,45,0.180722891566265,204,55,259,0.180722891566265,0.819277108433735,0.55,2.37682943843966,1.09257313002126,2.6159193840556,0.45,0.180722891566265,0.257879656160458,10.1439540559489,"p57","CC-CVS1"
"CC-CVS1_p58",249,154,0.618473895582329,82,0.329317269076305,167,72,239,0.329317269076305,0.670682730923695,0.467532467532468,2.16487474209795,1.24134378406786,2.49551939267511,0.532467532467532,0.329317269076305,0.406947890818859,6.13228241004921,"p58","CC-CVS1"
"CC-CVS1_p59",249,98,0.393574297188755,40,0.160642570281124,209,58,267,0.160642570281124,0.839357429718876,0.591836734693878,2.32966556240041,1.08488439476287,2.56988633652044,0.408163265306122,0.160642570281124,0.230547550432277,11.1468819846574,"p59","CC-CVS1"
"CC-CVS1_p60",249,124,0.497991967871486,70,0.281124497991968,179,54,233,0.281124497991968,0.718875502008032,0.435483870967742,2.25386741460288,1.29255944323103,2.59819711278694,0.564516129032258,0.281124497991968,0.375335120643432,6.92233945049663,"p60","CC-CVS1"
"CC-CVS1_p61",249,40,0.160642570281124,30,0.120481927710843,219,10,229,0.120481927710843,0.879518072289157,0.25,2.43413360429745,1.2936644464466,2.75655112478802,0.75,0.120481927710843,0.207612456747405,13.277387917729,"p61","CC-CVS1"
"CC-CVS1_p62",249,53,0.21285140562249,41,0.164658634538153,208,12,220,0.164658634538153,0.835341365461847,0.226415094339623,2.66953714928477,1.3701624970392,3.00062891069591,0.773584905660377,0.164658634538153,0.271523178807947,11.0510967198801,"p62","CC-CVS1"
"CC-CVS1_p63",249,32,0.1285140562249,24,0.0963855421686747,225,8,233,0.0963855421686747,0.903614457831325,0.25,2.75021755277761,1.35711896125579,3.06683362160488,0.75,0.0963855421686747,0.170818505338078,17.9537551598119,"p63","CC-CVS1"
"CC-CVS1_p64",249,52,0.208835341365462,42,0.168674698795181,207,10,217,0.168674698795181,0.831325301204819,0.192307692307692,2.62785150608273,1.33207981850081,2.94619079166276,0.807692307692308,0.168674698795181,0.27906976744186,10.5571836701249,"p64","CC-CVS1"
"CC-CVS1_p65",249,32,0.1285140562249,23,0.0923694779116466,226,9,235,0.0923694779116466,0.907630522088353,0.28125,2.80153151353919,1.38594530602919,3.12560765494608,0.71875,0.0923694779116466,0.163701067615658,19.0933858921706,"p65","CC-CVS1"
"CC-CVS1_p66",249,45,0.180722891566265,40,0.160642570281124,209,5,214,0.160642570281124,0.839357429718876,0.111111111111111,2.63164740836944,1.4594491169616,3.00924572060468,0.888888888888889,0.160642570281124,0.272108843537415,11.0589780232222,"p66","CC-CVS1"
