"src","pair_id","treeID","obs","pred","Zobs","Xobs","Yobs","Zpred","Xpred","Ypred","dxy","dz","dxyz","site"
0,16,5023,NA,118,8.3,327971.090650378,4310001.25120241,8.538,327970.25,4310001.75,0.977492761066609,0.238,1.0060497492359,"SG-SWR1"
0,18,5216,NA,242,8.3,327967.032192261,4309983.85720336,8.186,327969.75,4309983.25,2.7848114537375,0.114000000000001,2.78714384861412,"SG-SWR1"
0,NA,5061,NA,NA,8,327965.325150655,4309997.08786753,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,80,5033,NA,68,7.9,327973.69800898,4310010.48204971,9.464,327971.75,4310009.25,2.30492634748424,1.564,2.78545893298161,"SG-SWR1"
0,15,5161,NA,129,7.9,327984.070232659,4309998.49912569,8.566,327985.25,4309999.25,1.39845028670892,0.666,1.54894131728618,"SG-SWR1"
0,24,5133,NA,142,7.7,327974.505586533,4309995.98641024,7.522,327972.25,4309997.75,2.8632009131279,0.178,2.86872854570391,"SG-SWR1"
0,21,5201,NA,196,7.7,327977.69254125,4309991.79463447,7.914,327975.75,4309990.25,2.48180622884635,0.214,2.49101548721411,"SG-SWR1"
0,22,5026,NA,93,7.6,327970.19024989,4310004.38463437,7.769,327968.25,4310004.75,1.9743509509587,0.169,1.98157076016768,"SG-SWR1"
0,NA,5172,NA,NA,7.6,327980.908424752,4310003.79560744,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5027,NA,NA,7.4,327970.948465095,4310005.36584066,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5207,NA,NA,7.4,327972.551648359,4309982.36794616,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5025,NA,NA,7.2,327969.717181224,4310004.94226214,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5035,NA,NA,7.2,327975.106421174,4310008.24682953,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,25,5177,NA,79,7.2,327988.037503562,4310006.98801996,7.256,327985.75,4310007.75,2.41107572011224,0.056,2.41172596455625,"SG-SWR1"
0,109,5016,NA,51,7,327968.419076076,4310007.58868147,4.747,327967.75,4310010.75,3.23134610522183,2.253,3.93923934938362,"SG-SWR1"
0,32,5130,NA,173,6.9,327972.145838903,4309992.54922308,6.472,327973.25,4309993.25,1.30776910003258,0.428,1.37602471598443,"SG-SWR1"
0,90,5186,NA,232,6.9,327980.685686414,4309984.26256058,5.547,327980.25,4309984.75,0.653773540781855,1.353,1.50267389763263,"SG-SWR1"
0,28,5217,NA,264,6.9,327969.803621361,4309981.50112595,6.759,327969.25,4309980.25,1.36814208411259,0.141,1.37538858593488,"SG-SWR1"
0,NA,5079,NA,NA,6.8,327960.740283512,4310000.99301536,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5175,NA,NA,6.8,327980.377376652,4310003.99129593,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5044,NA,NA,6.7,327976.437535953,4310004.74888591,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,108,5159,NA,178,6.7,327985.699229925,4309996.98228185,6.441,327985.75,4309993.25,3.73262714908829,0.259,3.74160212129924,"SG-SWR1"
0,NA,5077,NA,NA,6.6,327960.138228035,4310001.30639173,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5139,NA,NA,6.4,327980.768511099,4309999.78881152,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,33,5078,NA,115,6.2,327961.341645738,4310001.02396454,6.294,327962.75,4310001.75,1.58448389664221,0.0939999999999994,1.58726973722757,"SG-SWR1"
0,84,5052,NA,124,6.1,327967.458938805,4310001.5181479,6.97,327970.75,4309999.75,3.73596450702854,0.87,3.83592632851271,"SG-SWR1"
0,36,5080,NA,137,6,327961.251587667,4309998.63289262,5.688,327962.75,4309998.75,1.50298158970264,0.312,1.5350236672394,"SG-SWR1"
0,35,5174,NA,97,6,327979.397109345,4310004.0165271,5.766,327978.25,4310004.75,1.36155879272938,0.234,1.38152030244173,"SG-SWR1"
0,26,5005,NA,27,5.8,327954.413734347,4310015.2349489,7.007,327955.75,4310014.75,1.42154188605702,1.207,1.86484056525338,"SG-SWR1"
0,NA,5041,NA,NA,5.8,327974.488314142,4310003.71058664,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,37,5202,NA,219,5.8,327976.854998557,4309989.59820804,5.399,327978.75,4309986.25,3.84727534020413,0.401,3.86811692472485,"SG-SWR1"
0,39,5218,NA,252,5.7,327968.323514195,4309980.39144714,5.114,327971.25,4309981.75,3.2264508429761,0.586,3.27923482570877,"SG-SWR1"
0,82,6487,NA,188,5.6,327958.15164898,4309991.41442971,7.354,327955.75,4309990.25,2.66904746397952,1.754,3.19379560475863,"SG-SWR1"
0,89,5018,NA,91,5.6,327965.58529828,4310002.749138,5.771,327963.25,4310004.75,3.0752344279328,0.171,3.07998503027907,"SG-SWR1"
0,23,5155,NA,109,5.6,327986.722130079,4310002.72763181,7.633,327985.75,4310002.25,1.08312927964174,2.033,2.3035316443273,"SG-SWR1"
0,29,5100,NA,183,5.5,327953.868681203,4309990.65248193,6.668,327954.25,4309991.75,1.16187346045696,1.168,1.64747501896516,"SG-SWR1"
0,88,5160,NA,151,5.5,327984.983923952,4309996.88948663,5.913,327982.25,4309996.25,2.80771852640283,0.413,2.83793099343619,"SG-SWR1"
0,NA,5180,NA,NA,5.5,327985.999518387,4310005.85499843,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5183,NA,NA,5.5,327982.542152055,4310001.99509773,NA,NA,NA,NA,NA,NA,"SG-SWR1"
