"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","quad","paramset"
"SG-SWR1_p11",236,104,0.440677966101695,55,0.233050847457627,181,49,230,0.233050847457627,0.766949152542373,0.471153846153846,2.68218271346885,1.39404872746452,3.02282582412163,0.528846153846154,0.233050847457627,0.323529411764706,9.3432798200123,"SG-SWR1","p11"
"SG-SWR1_p12",236,108,0.457627118644068,57,0.241525423728814,179,51,230,0.241525423728814,0.758474576271186,0.472222222222222,2.67538477687283,1.37728706763211,3.00908680017535,0.527777777777778,0.241525423728814,0.331395348837209,9.08005139702035,"SG-SWR1","p12"
"SG-SWR1_p13",236,114,0.483050847457627,58,0.245762711864407,178,56,234,0.245762711864407,0.754237288135593,0.491228070175439,2.64114267590186,1.3654675907466,2.97323668345615,0.508771929824561,0.245762711864407,0.331428571428571,8.97097275180736,"SG-SWR1","p13"
"SG-SWR1_p14",236,115,0.48728813559322,58,0.245762711864407,178,57,235,0.245762711864407,0.754237288135593,0.495652173913044,2.64114267590186,1.3654675907466,2.97323668345615,0.504347826086956,0.245762711864407,0.330484330484331,8.9966041025268,"SG-SWR1","p14"
"SG-SWR1_p15",236,2257,9.5635593220339,159,0.673728813559322,77,2098,2175,0.673728813559322,0.326271186440678,0.929552503322995,1.33835001907601,0.798572200711011,1.55849232699722,0.0704474966770049,0.673728813559322,0.127557160048135,12.2179917333461,"SG-SWR1","p15"
"SG-SWR1_p16",236,1959,8.30084745762712,160,0.677966101694915,76,1799,1875,0.677966101694915,0.322033898305085,0.918325676365493,1.4238628765312,0.849735984732905,1.65814255566694,0.0816743236345074,0.677966101694915,0.145785876993166,11.3738215927779,"SG-SWR1","p16"
"SG-SWR1_p17",236,1772,7.50847457627119,151,0.639830508474576,85,1621,1706,0.639830508474576,0.360169491525424,0.914785553047404,1.53398171210014,0.872797352506896,1.76490087869,0.0852144469525959,0.639830508474576,0.150398406374502,11.7348376304951,"SG-SWR1","p17"
"SG-SWR1_p18",236,1443,6.11440677966102,151,0.639830508474576,85,1292,1377,0.639830508474576,0.360169491525424,0.895356895356895,1.65477229930846,0.936247009915737,1.90127058204106,0.104643104643105,0.639830508474576,0.179868969624777,10.5703089643939,"SG-SWR1","p18"
"SG-SWR1_p19",236,837,3.54661016949153,143,0.605932203389831,93,694,787,0.605932203389831,0.394067796610169,0.829151732377539,2.05130626867163,1.16308334187188,2.35809674696171,0.170848267622461,0.605932203389831,0.266542404473439,8.84698534786684,"SG-SWR1","p19"
"SG-SWR1_p20",236,615,2.60593220338983,128,0.542372881355932,108,487,595,0.542372881355932,0.457627118644068,0.791869918699187,2.14016233354538,1.2281997877992,2.46754321799566,0.208130081300813,0.542372881355932,0.300822561692127,8.20265343169652,"SG-SWR1","p20"
"SG-SWR1_p21",236,397,1.68220338983051,122,0.516949152542373,114,275,389,0.516949152542373,0.483050847457627,0.692695214105793,2.50031516419087,1.2802580074242,2.80902767623542,0.307304785894207,0.516949152542373,0.385466034755134,7.28735458629927,"SG-SWR1","p21"
"SG-SWR1_p22",236,261,1.10593220338983,90,0.38135593220339,146,171,317,0.38135593220339,0.61864406779661,0.655172413793103,2.62357186410659,1.25935329082474,2.91017182263227,0.344827586206897,0.38135593220339,0.362173038229376,8.03530775471244,"SG-SWR1","p22"
"SG-SWR1_p23",236,147,0.622881355932203,62,0.26271186440678,174,85,259,0.26271186440678,0.73728813559322,0.578231292517007,2.65842371671522,1.31154924396869,2.96435120674808,0.421768707482993,0.26271186440678,0.323759791122715,9.15602025955254,"SG-SWR1","p23"
