"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","quad","paramset"
"CC-CVN2_p50",441,90,0.204081632653061,73,0.165532879818594,368,17,385,0.165532879818594,0.834467120181406,0.188888888888889,2.63063381254858,1.59746966871542,3.0776847788865,0.811111111111111,0.165532879818594,0.274952919020716,11.1934973807447,"CC-CVN2","p50"
"CC-CVN2_p51",441,67,0.151927437641723,58,0.131519274376417,383,9,392,0.131519274376417,0.868480725623583,0.134328358208955,2.68151674289592,1.69235175584665,3.17089679869093,0.865671641791045,0.131519274376417,0.228346456692913,13.8863411528879,"CC-CVN2","p51"
"CC-CVN2_p52",441,82,0.1859410430839,69,0.156462585034014,372,13,385,0.156462585034014,0.843537414965986,0.158536585365854,2.6369531491923,1.62036993002985,3.09501544764806,0.841463414634146,0.156462585034014,0.263862332695985,11.7296599936227,"CC-CVN2","p52"
"CC-CVN2_p53",441,64,0.145124716553288,55,0.124716553287982,386,9,395,0.124716553287982,0.875283446712018,0.140625,2.68922690813072,1.72164687541794,3.19311905932908,0.859375,0.124716553287982,0.217821782178218,14.659319317829,"CC-CVN2","p53"
"CC-CVN2_p54",441,78,0.17687074829932,66,0.149659863945578,375,12,387,0.149659863945578,0.850340136054422,0.153846153846154,2.64783826641107,1.64857910353312,3.11911214060618,0.846153846153846,0.149659863945578,0.254335260115607,12.2637818255652,"CC-CVN2","p54"
"CC-CVN2_p55",441,63,0.142857142857143,54,0.122448979591837,387,9,396,0.122448979591837,0.877551020408163,0.142857142857143,2.67062351314966,1.73672484973979,3.18566212155206,0.857142857142857,0.122448979591837,0.214285714285714,14.8664232339096,"CC-CVN2","p55"
"CC-CVN2_p56",441,74,0.167800453514739,62,0.140589569160998,379,12,391,0.140589569160998,0.859410430839002,0.162162162162162,2.70187971699122,1.65409664947561,3.16799459136139,0.837837837837838,0.140589569160998,0.240776699029126,13.1573968915413,"CC-CVN2","p56"
"CC-CVN2_p57",441,60,0.136054421768707,53,0.120181405895692,388,7,395,0.120181405895692,0.879818594104308,0.116666666666667,2.69418795664201,1.75224289692135,3.21387677354409,0.883333333333333,0.120181405895692,0.211576846307385,15.1901156938263,"CC-CVN2","p57"
"CC-CVN2_p58",441,68,0.154195011337868,58,0.131519274376417,383,10,393,0.131519274376417,0.868480725623583,0.147058823529412,2.65472259901629,1.67876200280712,3.14098614129333,0.852941176470588,0.131519274376417,0.227897838899804,13.7824305682613,"CC-CVN2","p58"
"CC-CVN2_p59",441,42,0.0952380952380952,36,0.0816326530612245,405,6,411,0.0816326530612245,0.918367346938776,0.142857142857143,2.89042245459055,1.9719324137618,3.49900834672422,0.857142857142857,0.0816326530612245,0.149068322981366,23.4725143259416,"CC-CVN2","p59"
"CC-CVN2_p60",441,65,0.147392290249433,57,0.129251700680272,384,8,392,0.129251700680272,0.870748299319728,0.123076923076923,2.67942947157935,1.75653989522264,3.20386870777764,0.876923076923077,0.129251700680272,0.225296442687747,14.2206804046972,"CC-CVN2","p60"
"CC-CVN2_p61",441,41,0.0929705215419501,35,0.0793650793650794,406,6,412,0.0793650793650794,0.920634920634921,0.146341463414634,2.87089156672994,1.98487080543942,3.49023358848757,0.853658536585366,0.0793650793650794,0.145228215767635,24.0327512807287,"CC-CVN2","p61"
"CC-CVN2_p62",441,56,0.126984126984127,50,0.113378684807256,391,6,397,0.113378684807256,0.886621315192744,0.107142857142857,2.75327225037078,1.74280175579439,3.25850672005779,0.892857142857143,0.113378684807256,0.201207243460765,16.1947783986872,"CC-CVN2","p62"
"CC-CVN2_p63",441,41,0.0929705215419501,35,0.0793650793650794,406,6,412,0.0793650793650794,0.920634920634921,0.146341463414634,2.87089156672994,1.98487080543942,3.49023358848757,0.853658536585366,0.0793650793650794,0.145228215767635,24.0327512807287,"CC-CVN2","p63"
"CC-CVN2_p64",441,53,0.120181405895692,47,0.106575963718821,394,6,400,0.106575963718821,0.893424036281179,0.113207547169811,2.74474154921854,1.77632638485497,3.26939468365912,0.886792452830189,0.106575963718821,0.190283400809717,17.1817124864639,"CC-CVN2","p64"
"CC-CVN2_p65",441,40,0.090702947845805,34,0.0770975056689342,407,6,413,0.0770975056689342,0.922902494331066,0.15,2.89292770303482,1.93518067251978,3.48051072836738,0.85,0.0770975056689342,0.141372141372141,24.6194950050692,"CC-CVN2","p65"
"CC-CVN2_p66",441,52,0.117913832199546,46,0.104308390022676,395,6,401,0.104308390022676,0.895691609977324,0.115384615384615,2.74040715516183,1.78454561260794,3.27023461230848,0.884615384615385,0.104308390022676,0.186612576064909,17.5241919985661,"CC-CVN2","p66"
"CC-CVN2_p67",441,40,0.090702947845805,34,0.0770975056689342,407,6,413,0.0770975056689342,0.922902494331066,0.15,2.89292770303482,1.93518067251978,3.48051072836738,0.85,0.0770975056689342,0.141372141372141,24.6194950050692,"CC-CVN2","p67"
